,glazing_ratio,wall_u_value,window_u_value,window_sghc,infiltration_rate,chiller_cop,indoor_temp_set_point,equipment_load_density,lighting_load_density,occupancy_density,wall_albedo,roof_albedo,wall_emissivity,roof_emissivity,floor_height,roof_u_value
1,0.110963298,0.354374923,0.02246965,0.000836914,0.11249667,-0.003254019,0.119399577,0.007036827,-0.004110896,-0.004057542,-0.004559833,0.000683031,0.020641938,-0.000120493,0.012580565,-0.006400973
2,0.120543684,0.331252615,0.045244076,0.00060915,0.168013,8.25E-05,0.099572738,0.004822616,-0.002762309,0.001338883,0.004782421,-0.000287593,0.022688925,0.000440063,0.017098459,0.005962603
3,0.10972014,0.234896332,0.026395625,0,0.137090824,0.001323115,0.146935418,0.002763714,0.0030385,0.005356699,0.009689492,-0.000753519,0.021550879,0.003218025,0.010558297,0.005655908
4,0.052985108,0.108460618,0.015460087,-0.000208142,0.150758303,-0.000776883,0.099576194,0.004237718,0.004237718,0.004036873,0.005743097,-0.001089095,0.01037521,-0.001234257,0.011839497,0.005534955
5,0.125342879,0.105996355,0.033543133,-0.001917254,0.096794892,0.005179496,0.299481765,-0.004608267,0.001691362,0.003710917,0.002834857,0.000489181,0.016596825,0.000630952,8.10E-05,0.005137954
6,0.460160304,0.026440834,0.013496912,0.020503478,0.036567729,0.002817026,0.025495696,0.022839514,0.001729431,-0.00231765,0.000196073,-0.007559557,0.00058822,-0.005188292,0.005419593,0.004100696
7,0.226565021,-0.001672377,-0.002971038,-0.008957494,-0.008868736,-0.005942077,0.116529165,0.021633457,0.009749303,0.014348339,-0.007658833,-0.016109474,0.00213485,0.009331209,0.029995339,-0.010629871
8,0.496295911,0.008799968,-0.000487281,0.023447305,0.005618186,0.016396191,0.000229184,-0.014676251,0.003181782,-0.004156344,-0.00171994,-0.004414441,-0.007596223,0.008799968,-0.003181782,0.000974562
9,0.29443049,-0.003131663,0,-0.00044738,0.001342141,-0.019720564,-0.021957466,0.001342141,0,-0.000894761,0.002236902,-0.000894761,0,-0.00044738,0.00044738,0.00044738
10,2.37E-18,-6.82E-05,0,-6.82E-05,0,0,0,0,0,0,-6.82E-05,2.37E-18,-6.82E-05,0,0,0
11,0.478592756,0.074287646,-0.002070931,0.083865231,-0.00145981,0.054081783,0.098148056,0.000615567,-0.000349682,0.003967022,0.021359289,0.022052563,0.006804489,0.002148639,0.006988221,0.000373555
12,0.172426198,0.08632248,-0.002270959,0.005525044,0.00885075,-0.003501496,0.06286285,-0.008527815,-0.000717488,-0.001216213,0.017335593,0.008646311,-0.001406328,-0.005758131,-0.003677287,-0.00627118
13,0.398070708,0.062751489,7.08E-05,0.041588306,0.003827845,0.043340101,0.176073844,-0.003037693,-7.08E-05,-0.001285898,0.017558922,0.016992354,0.016302874,-0.003574411,-0.004506205,-0.001215077
14,0.409589149,0.068148605,0.008684413,0.057382025,0.005746648,0.062081051,0.064575568,0.010914628,-0.001336732,-0.00144994,0.003975803,0.033127484,0.005275097,0.001560103,0.003469412,0.003692783
15,0.294464259,0.068676527,-0.002152182,0.05533876,-0.000209618,0.106199699,0.188121825,0.008670173,0.005919861,-0.002990652,0.004488698,0.019523251,0.007744974,0.000807748,0.00720285,0.004365809
16,0.133455992,0.047849304,0.009748977,0.034772973,0.024192993,0.162864745,0.419853312,0.047131501,0.017140786,0.000763083,0.004872819,0.024842875,0.02594556,0.003928615,0.026935043,0.006806506
17,0.027320176,0.02040276,0.003640403,0.001889883,0.023782672,0.110542376,0.45863707,0.029104996,0.033351052,0.004040258,0.00150826,0.016467565,0.021287136,-0.001368898,0.023974564,-0.003050819
18,-0.002998113,0.062327014,0.004917366,-0.00083004,0.010789373,0.138254804,0.323546628,0.069496032,0.047191527,-0.000134953,0.004284005,-0.00226162,0.029016904,-0.00112065,0.070761604,-0.000757196
19,0.008613834,0.08302381,0.004495814,0.001341249,0.004061223,0.066475844,0.360753778,0.072766352,0.062791485,-0.002719975,0.007933666,-0.001378958,0.034248398,0.000169926,0.054612474,0.002607078
20,0.026035185,0.261004247,0.004435655,8.21E-05,0.000339608,0.094768052,0.261095348,0.086197503,0.063797857,-0.002441218,0.020366362,-0.00055161,0.038818,-0.000271282,0.060590685,0.004613495
21,0.01193965,0.247473181,0.000707076,-0.000255907,-0.000227917,0.052109684,0.426383339,0.04603323,0.020036034,0.002940929,0.000628438,0.00076772,0.024637691,-0.001098267,0.027332043,0.001154246
22,0.00941704,0.187411648,-0.001578831,0.000197892,-0.001170137,0.012583308,0.409166024,0.01667018,0.007463943,0.009042773,0.000395784,0.001376636,0.012540273,0.000184981,0.018653401,-0.001191654
23,0.064455732,0.355695166,0.004863251,0.000947615,0.010946707,0.017597944,0.207259325,0.032209932,0.001081759,0.001953334,0.007929548,5.81E-05,0.03789562,-0.008644742,0.013887826,-0.000996752
24,0.05825015,0.463865019,0.005393395,-0.000521909,0.053661533,0.000165709,0.057231114,-0.005619118,0.002742887,-0.000165709,0.004123855,0.000280003,0.006643886,0.002052403,0.009147734,-0.001734302
