Glazing Ratio,Wall U Value,Window U Value,Window SHGC,Infiltration Rate,Chiller COP,Thermostat Setpoint,Equipment Load Density,Lighting Load Density,Occupancy Density,Wall Albedo,Roof Albedo,Wall Emissivity,Roof Emissivity,Floor Height,Roof U Value
0.025075455,0.19709874,-0.001788267,0.001042125,0.02677391,0.006870771,0.323055687,0.006520302,0.003300876,0.001346127,0.015033701,0.072693195,0.020125741,0.086486187,0.00607099,0.007705789
0.004412486,0.230175589,0.00860926,0.001104048,-0.00656782,0.001160133,0.396676232,-0.002802446,0.01044922,-0.003152939,0.011888813,0.059757083,0.0161694,0.063408286,0.005477143,0.007019538
0.011845005,0.310674198,-0.002136488,0.002417695,0.022835295,-0.002385912,0.256142838,0.009024558,0.006683521,0.002836133,0.02128448,0.086326557,0.016384798,0.10912102,0.009123293,0.016806635
-0.018497009,0.421348214,-0.005263675,-0.00159077,0.015002428,0.000145162,0.116679091,0.010184817,0.004486086,0.003512877,0.004990188,0.065450424,0.01790487,0.096838551,0.001314773,0.010271059
0.014453512,0.443894592,-8.07E-05,0.003351563,0.020252902,-0.003692168,0.041805916,0.0079976,-0.001466976,0.000730896,0.008263192,0.069868019,0.029158483,0.095819026,-0.000309862,0.031251877
0.008381281,0.48194807,-0.000447763,0.002315523,0.007992165,0.003214951,0.343605171,0.023048193,0.013086584,0.00468579,-0.000561153,0.005418533,0.020223808,0.004508847,0.017101733,-0.000712675
0.073716089,0.375295684,0.000401431,-0.002090374,0.000606458,0.000765134,0.196673036,-0.000902897,4.27E-17,-0.000618747,-0.002207656,0.001697567,0.013086829,0.005289104,0.002374955,-0.003892503
0.431966125,0.064704452,0.00073535,-0.001381328,-0.009081323,-0.003953743,0.318709298,0.009404313,0.00303077,-0.000562356,-0.001978181,-0.00168132,-0.001614946,0.002333047,-0.00156582,-0.001441952
0.57814748,0.034828252,0.000364711,-0.000196878,0.001391238,0.004717493,0.179512781,0.018027233,0.004295646,0.001857899,0.002085995,0.001632293,0.004815548,0.001678194,0.007409892,0.000120528
0.617476828,0.016251481,-0.001043206,0.009236541,-0.002858214,0.019114804,0.205575326,0.011709112,0.002363185,-0.000500138,0.002520868,0.003498906,0.013186773,0.006742763,0.00504225,0.000983147
0.635158471,0.00578276,-0.001019642,0.001724443,-0.000514061,0.005803011,0.163079178,0.006822654,-0.002484112,-0.001984416,-0.008822732,-0.002717948,0.005187695,0.000937341,0.000342275,-0.001490607
0.712307385,0.023651389,0.000396417,0.00096662,0.001249244,0.016637733,0.137456256,0.006122515,-0.000682757,0.00118925,-1.86E-06,0.008209719,0.009847327,0.012742851,0.00695552,0.006675374
0.615541633,0.045083121,9.63E-05,-0.001323279,0.005073304,0.022444817,0.148894484,0.013394856,-0.001549429,0.001768759,-0.001290134,0.00704506,0.015390246,0.009039969,0.002400424,0.007051881
0.635919047,0.046657723,-0.001011228,0.002350706,-0.00466965,0.013565997,0.110621024,0.008408368,-0.004431403,-0.00361431,-0.002326008,0.018551548,0.005539698,0.01583905,-0.00210011,0.001770081
0.546125467,0.120310437,0.000781877,-0.000905648,-0.004446172,0.020238918,0.107877569,-0.000371983,0.00160211,-0.000577376,-0.006582839,0.032008772,0.000904979,0.018594659,0.004811239,0.007570778
0.335515728,0.137156723,-0.000712331,-0.001911325,0.000225668,0.028939087,0.186461038,0.021414693,0.003717278,0.001517548,-0.008478533,-0.0032364,0.009346487,0.001438671,0.008202006,-0.001092099
0.100380189,0.160615322,-0.000265345,0.00157649,-0.001638974,0.039708678,0.259481672,0.022960541,0.016732642,0.003262285,-0.004698229,0.077981831,-0.001654553,0.062513346,0.028017841,0.023990595
0.009426473,0.247190893,-0.00175017,0.000308689,-0.0057631,0.036244826,0.16206914,0.051869137,0.02812312,0.003448808,0.011678038,0.066556763,0.014689878,0.048723432,0.046379973,0.026441307
0.011346264,0.196562408,-0.003698627,-0.00127667,0.003021772,0.039225949,0.157612291,0.072086434,0.056119809,0.002377935,0.004827407,0.089053208,0.025413016,0.072836202,0.032293,0.016507971
0.015496201,0.119087967,0.000144573,-0.000483356,-0.002875838,0.039267246,0.322372544,0.072806416,0.039461455,0.010774064,0.033195358,0.035920201,0.029646637,0.026023636,0.042844945,0.026652957
0.030162885,0.024398872,0.000498266,-0.002128266,-0.002335161,0.025627762,0.332337316,0.064151832,0.026784758,0.014095444,0.030175664,0.043684074,0.026058527,0.042138648,0.037561288,0.032599495
0.092140836,0.065988751,-0.003916933,-0.006463852,-0.006312161,0.004509042,0.385927991,0.068117829,0.011490719,-0.001553628,0.02025916,0.021337021,0.021139388,0.010253704,0.020216648,0.033442121
0.042769377,0.159927853,-0.005813808,-0.004923055,0.00044341,0.005645748,0.17810165,0.037084235,0.010364946,0.001896324,0.018312144,0.045549698,0.023442888,0.039166299,0.00616986,0.062025515
0.030854356,0.210563611,-0.002580927,0.000515451,-0.007534203,-0.022699213,0.148271484,-0.008265094,-0.013116028,-0.010500613,0.005974392,0.083522962,0.04398088,0.068966221,0.00180299,0.030866389
